frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m
384,13.178,1.917,2.527,pose,2.88,2.59,3.831,2.369
385,13.212,2.614,2.538,bbox,2.88,2.59,3.831,2.369
386,13.246,2.691,2.564,bbox,2.88,2.59,3.831,2.369
387,13.281,1.991,2.564,pose,2.88,2.59,3.831,2.369
388,13.315,2.859,2.614,bbox,2.88,2.59,3.831,2.41
389,13.349,2.903,2.691,bbox,2.88,2.59,3.831,2.41
390,13.384,2.149,2.691,pose,2.88,2.59,3.831,2.453
391,13.418,2.985,2.859,bbox,2.88,2.59,3.831,2.453
392,13.452,2.945,2.903,bbox,2.88,2.59,3.831,2.453
393,13.487,2.001,2.903,pose,2.88,2.59,3.831,2.453
394,13.521,2.76,2.76,bbox,2.88,2.59,3.831,2.453
395,13.555,2.739,2.76,bbox,2.88,2.59,3.866,2.453
396,13.59,2.087,2.739,pose,2.88,2.59,3.866,2.453
397,13.624,2.74,2.739,bbox,2.88,2.59,3.866,2.453
398,13.658,2.689,2.739,bbox,2.88,2.59,3.866,2.453
399,13.693,2.074,2.689,pose,2.88,2.59,3.897,2.453
400,13.727,2.699,2.689,bbox,2.88,2.637,3.897,2.453
401,13.761,2.748,2.699,bbox,2.88,2.637,3.942,2.453
402,13.795,2.176,2.689,pose,2.88,2.637,3.942,2.453
403,13.83,2.805,2.699,bbox,2.88,2.637,3.942,2.453
