frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
225,3.754,2.003,2.548,pose,1.425,0.459,0.683,1.41,2.1412,5.1038,0.6149,0.9974,0.6544,0.953
226,3.77,2.604,2.554,bbox,1.425,0.459,0.683,1.41,2.1291,5.1199,,,,
227,3.787,2.642,2.556,bbox,1.425,0.459,0.683,1.41,2.1012,5.1314,,,,
228,3.804,2.15,2.554,pose,1.425,0.499,0.683,1.41,2.0819,5.1529,0.5926,0.9215,0.6269,0.9638
229,3.82,2.726,2.604,bbox,1.425,0.499,0.683,1.442,2.0662,5.1824,,,,
230,3.837,2.748,2.642,bbox,1.425,0.547,0.683,1.442,2.0455,5.1762,,,,
231,3.854,2.284,2.642,pose,1.425,0.547,0.683,1.484,2.0319,5.1734,0.6119,0.8124,0.5945,1.0044
232,3.871,2.78,2.726,bbox,1.425,0.583,0.683,1.484,2.0254,5.1638,,,,
233,3.887,2.816,2.748,bbox,1.425,0.583,0.683,1.484,2.0023,5.155,,,,
234,3.904,2.452,2.748,pose,1.425,0.583,0.683,1.484,1.9971,5.1457,0.6055,0.6331,0.5786,0.917
235,3.921,2.832,2.78,bbox,1.425,0.626,0.683,1.484,1.986,5.1434,,,,
236,3.937,2.834,2.816,bbox,1.425,0.626,0.683,1.484,1.9861,5.1246,,,,
237,3.954,2.655,2.816,pose,1.425,0.626,0.713,1.484,1.9703,5.1144,0.6165,0.213,0.6111,0.9229
238,3.971,2.88,2.832,bbox,1.425,0.626,0.713,1.484,1.9444,5.1409,,,,
239,3.987,2.894,2.834,bbox,1.425,0.658,0.713,1.484,1.9197,5.1492,,,,
240,4.004,2.557,2.834,pose,1.425,0.658,0.713,1.484,1.9161,5.1446,0.1177,0.7867,0.6249,0.9356
241,4.021,2.869,2.869,bbox,1.425,0.709,0.713,1.484,1.8998,5.1261,,,,
242,4.037,2.867,2.869,bbox,1.425,0.709,0.713,1.484,1.8881,5.1171,,,,
243,4.054,2.465,2.867,pose,1.425,0.709,0.713,1.484,1.8664,5.09,0.2497,0.8651,0.6763,0.9477
244,4.071,2.833,2.833,bbox,1.425,0.74,0.713,1.484,1.8471,5.0653,,,,
245,4.087,2.831,2.833,bbox,1.425,0.74,0.767,1.484,1.8174,5.0245,,,,
246,4.104,2.227,2.831,pose,1.425,0.781,0.767,1.484,1.7942,4.9782,0.6113,1.0179,0.6645,0.9197
247,4.121,2.824,2.824,bbox,1.425,0.781,0.832,1.484,1.7694,4.9531,,,,
248,4.137,2.83,2.83,bbox,1.425,0.834,0.879,1.484,1.731,4.9247,,,,
249,4.154,2.229,2.824,pose,1.425,0.834,0.879,1.484,1.7053,4.8986,0.5531,1.1217,0.6476,0.9571
250,4.171,2.845,2.824,bbox,1.425,0.897,0.932,1.484,1.7012,4.8658,,,,
251,4.188,2.837,2.83,bbox,1.425,0.897,0.932,1.484,1.691,4.8386,,,,
