frame,time_s,distance_raw_m,distance_smooth_m,distance_bbox_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
201,6.707,2.076,2.698,2.789,pose,1.52,0.869,1.32,1.272,1.7006,4.3026,1.0349,0.7153,0.737,0.6087
202,6.74,2.845,2.737,2.845,bbox,1.52,0.904,1.32,1.272,1.6885,4.2992,,,,
203,6.773,2.866,2.781,2.866,bbox,1.52,0.904,1.32,1.272,1.6826,4.2887,,,,
204,6.807,2.051,2.781,2.893,pose,1.52,0.904,1.32,1.272,1.6771,4.284,1.0554,0.7844,0.6841,0.5468
205,6.84,2.895,2.845,2.895,bbox,1.52,0.904,1.32,1.272,1.6741,4.2672,,,,
206,6.874,2.918,2.866,2.918,bbox,1.52,0.904,1.32,1.272,1.6653,4.2404,,,,
207,6.907,1.991,2.866,2.916,pose,1.52,0.904,1.364,1.272,1.6682,4.2195,1.0681,0.7885,0.6259,0.4982
208,6.94,2.916,2.895,2.916,bbox,1.52,0.938,1.364,1.272,1.6705,4.2017,,,,
209,6.974,2.927,2.916,2.927,bbox,1.52,0.938,1.411,1.272,1.6699,4.199,,,,
210,7.007,1.999,2.916,2.92,pose,1.52,0.938,1.411,1.272,1.6634,4.1948,1.0362,0.9002,0.5962,0.5104
211,7.04,2.937,2.916,2.937,bbox,1.52,0.938,1.411,1.272,1.6546,4.2011,,,,
212,7.074,2.907,2.916,2.907,bbox,1.52,0.938,1.411,1.272,1.6473,4.1939,,,,
213,7.107,1.957,2.907,2.871,pose,1.52,0.938,1.411,1.272,1.6379,4.1935,1.0655,0.8886,0.6056,0.5828
214,7.14,2.822,2.822,2.822,bbox,1.52,0.938,1.411,1.272,1.6343,4.1849,,,,
215,7.174,2.779,2.822,2.779,bbox,1.52,0.97,1.411,1.272,1.6317,4.1681,,,,
216,7.207,1.963,2.779,2.757,pose,1.52,0.97,1.446,1.272,1.6321,4.154,1.0576,0.7757,0.6286,0.6329
217,7.241,2.733,2.733,2.733,bbox,1.52,0.97,1.446,1.272,1.6396,4.1394,,,,
218,7.274,2.714,2.733,2.714,bbox,1.52,0.97,1.477,1.272,1.6466,4.1323,,,,
219,7.307,2.233,2.714,2.701,pose,1.52,0.97,1.477,1.272,1.6563,4.1332,1.0559,0.2485,0.6266,0.6457
220,7.341,2.712,2.712,2.712,bbox,1.52,0.97,1.477,1.272,1.666,4.1463,,,,
221,7.374,2.739,2.714,2.739,bbox,1.52,0.97,1.477,1.272,1.6681,4.1561,,,,
222,7.407,2.039,2.712,2.766,pose,1.52,0.97,1.477,1.272,1.6695,4.1585,1.0526,0.6833,0.6049,0.6088
223,7.441,2.785,2.712,2.785,bbox,1.52,0.97,1.477,1.272,1.6667,4.1524,,,,
224,7.474,2.81,2.739,2.81,bbox,1.52,0.97,1.477,1.272,1.6542,4.1452,,,,
225,7.508,2.835,2.785,2.835,bbox,1.52,0.97,1.477,1.272,1.6363,4.1227,1.0546,,0.5713,
226,7.541,2.852,2.81,2.852,bbox,1.52,0.97,1.477,1.272,1.6397,4.1144,,,,
227,7.574,2.818,2.818,2.818,bbox,1.52,0.97,1.508,1.272,1.6794,4.116,,,,
228,7.608,1.818,2.818,2.739,pose,1.52,0.97,1.508,1.272,1.7589,4.1152,1.1862,0.8224,0.5334,0.4905
229,7.641,2.6,2.818,2.6,bbox,1.561,0.97,1.508,1.272,1.841,4.1192,,,,
230,7.674,2.55,2.6,2.55,bbox,1.641,0.97,1.508,1.272,1.923,4.131,,,,
231,7.708,1.224,2.55,2.284,pose,1.723,0.97,1.508,1.272,2.0094,4.1552,1.4257,0.8523,0.4369,0.5126
232,7.741,2.117,2.117,2.117,bbox,1.805,0.97,1.508,1.272,2.1165,4.1836,,,,
233,7.774,2.061,2.117,2.061,bbox,1.891,0.97,1.508,1.305,2.2069,4.2432,,,,
234,7.808,2.367,2.117,2.367,bbox,1.998,0.97,1.508,1.305,2.2836,4.3156,1.453,,0.4644,
235,7.841,2.435,2.117,2.435,bbox,2.089,0.97,1.508,1.393,2.3487,4.3714,,,,
236,7.875,2.419,2.367,2.419,bbox,2.165,0.97,1.508,1.465,2.4157,4.4224,,,,
